Image,Observation,Date,Exposure,Tip_Radius,Tip_Longitude,Base_Radius,Base_Longitude,Class,Phase
N1549842325_1.IMG,ISS_039RF_FMOVIE002_VIMS,2007-041T23:12:18.908,2600,140178.13,252.939,140075.72,252.944,Extended Object,129.97227
N1550419818a_1.IMG,ISS_039RI_PHOTLIT001_PRIME,2007-048T15:37:02.053,15000,140167.93,144.718,140154.05,144.942,Classic,125.90762
N1550419818a_1.IMG,ISS_039RI_PHOTLIT001_PRIME,2007-048T15:37:02.053,15000,0,0,140147.02,143.052,Complex,125.90762
N1551265033_1.IMG,ISS_039RF_FMOVIE001_VIMS,2007-058T10:23:58.205,2000,140367.21,200.218,139987.43,200.22,Extended Object,102.74518
N1551268606_1.IMG,ISS_039RF_FMOVIE001_VIMS,2007-058T11:23:31.182,2000,140049.93,200.735,139979.04,200.739,Complex,103.15517
N1551269400_1.IMG,ISS_039RF_FMOVIE001_VIMS,2007-058T11:36:45.177,2000,140031.12,200.936,139999.46,200.933,Complex,103.25125
N1551271782_1.IMG,ISS_039RF_FMOVIE001_VIMS,2007-058T12:16:27.162,2000,139980.1,200.697,139999.27,200.691,Complex,103.52903
N1551275752_1.IMG,ISS_039RF_FMOVIE001_VIMS,2007-058T13:22:37.137,2000,139973.84,199.852,139985.02,199.79,Complex,103.99166
N1551287669_1.IMG,ISS_039RF_FMOVIE001_VIMS,2007-058T16:41:13.762,2600,139914.72,202.394,139986.79,202.396,Extended Object,105.40679
N1551303946_1.IMG,ISS_039RF_FMOVIE001_VIMS,2007-058T21:12:30.659,2600,139924.73,206.569,139954.2,206.562,Classic,107.33901
N1552434512_1.IMG,ISS_040OT_SATELLORB009_PRIME,2007-071T23:15:10.480,680,140361.38,161.739,140310.06,161.739,Extended Object,70.57317
N1552730884_1.IMG,ISS_041OT_SATELLORB002_PRIME,2007-075T09:34:40.605,680,139847.66,200.575,140198.21,200.598,Extended Object,99.70744
